"Jan. 7 2018","examples of statistics projects - Google Search","https://www.google.ro/search?q=examples+of+statistics+projects&ei=cqFRWuuQDZLdwQLcppeoAw&start=30&sa=N&biw=1922&bih=913"
"Jan. 7 2018","3.3 - Hypothesis Testing: Examples | Statistics","https://onlinecourses.science.psu.edu/statprogram/node/139"
"Jan. 7 2018","https://www.stat.berkeley.edu/~aldous/157/topics.html","https://www.stat.berkeley.edu/~aldous/157/topics.html"
"Jan. 7 2018","Statistics Collaboratory: 404 Not Found","http://collaboratory.ucr.edu/files/"
"Jan. 7 2018","tmoore.pdf","http://pages.stat.wisc.edu/~wardrop/papers/tmoore.pdf"
"Jan. 7 2018","Undergraduate Senior Statistics Abstracts","http://it.stlawu.edu/~rlock/ussa/"
"Jan. 7 2018","Robin Lock's Page","http://it.stlawu.edu/~rlock/"
"Jan. 7 2018","GAISE Reports","http://it.stlawu.edu/~rlock/gaise/"
"Jan. 7 2018","A FRAMEWORK FOR TEACHING STATISTICS","http://it.stlawu.edu/~rlock/gaise/GAISEPreK-12.pdf"
"Jan. 7 2018","Senior Year Experiences in Statistics at St. Lawrence University","http://it.stlawu.edu/~rlock/ussa/StLawrence.htm#JasperBurch"
"Jan. 7 2018","Microsoft Word - 7B2_Lock.doc","https://iase-web.org/documents/papers/icots8/ICOTS8_7B2_LOCK.pdf"
"Jan. 7 2018","Stat W1111","http://www.columbia.edu/itc/statistics/w1111/"
"Jan. 7 2018","Motivating statistical projects · Simply Statistics","https://simplystatistics.org/2012/06/28/motivating-statistical-projects/"
"Jan. 7 2018","Freakonomics - The hidden side of everything Freakonomics | The hidden side of everything","http://freakonomics.com/"
"Jan. 7 2018","An example of statistical data analysis using the R environment for statistical computing","http://www.css.cornell.edu/faculty/dgr2/teach/R/R_corregr.pdf"
"Jan. 7 2018","Projects in Statistics Courses","http://www.austincc.edu/mparker/stat/jan00proj.html"
"Jan. 7 2018","appendixd_samplestudentprojects.pdf","http://faculty.ung.edu/djspence/nsf/materials/appendixd_samplestudentprojects.pdf"
"Jan. 7 2018","Final Project Examples - Sam York","https://sites.google.com/a/mvsdpride.org/hs-syork/probability--statistics/final-project-examples"
"Jan. 7 2018","Copy of Final Project Example 1 (Good Example) - Google Slides","https://docs.google.com/presentation/d/1b_ax7u-MF7fdoA_OCKzLzB8jUku17622ApJZBhRuUqg/edit#slide=id.ged06ea6fc_0_13"
"Jan. 7 2018","College Tuition.pdf","https://commons.wvc.edu/aredmon/math146/Handout/Sample%20Projects/College%20Tuition.pdf"
"Jan. 7 2018","Sample Application Projects and Proposals | Math 216: Statistics for Engineering","http://derekbruff.org/blogs/math216/?p=356"
"Jan. 7 2018","Sample-1-Mean-Annual-Temperature-in-NYC.pdf","http://derekbruff.org/blogs/math216/files/2012/03/Sample-1-Mean-Annual-Temperature-in-NYC.pdf"
"Jan. 7 2018","Research Projects in Statistics | Project Examples","http://highered.mheducation.com/sites/0072946814/student_view0/chapter7/project_examples.html"
"Jan. 7 2018","Term Project Examples:","http://gchang.people.ysu.edu/class/Projects/student_proj/Term_Project_Examples.htm"
"Jan. 7 2018","ahsposter_Li_ling.pdf","http://gchang.people.ysu.edu/class/Projects/student_proj/ahsposter_Li_ling.pdf"
"Jan. 7 2018","Handwashing.pdf","http://gchang.people.ysu.edu/class/Projects/student_proj/Handwashing.pdf"
"Jan. 7 2018","Sample projects - Department of Statistical Sciences – University of Toronto","http://utstat.toronto.edu/?page_id=531"
"Jan. 7 2018","Statistics Project","http://derekogle.com/NCMTH107/resources/project.html"
"Jan. 7 2018","Past Projects","http://derekogle.com/NCMTH107/resources/past-projects/"
"Jan. 7 2018","Microsoft Word - Statistics Project","http://derekogle.com/NCMTH107/resources/past-projects/F08_Welter.pdf"
"Jan. 7 2018","Microsoft Word - Final Project Write-Up","http://derekogle.com/NCMTH107/resources/past-projects/F08_Breitenfeldt.pdf"
